x,,,,,,,,label,label-2,group,petrologic type,family,brecciac,chemical group,anomalous,petrologic class,metamorphic grade
1,ordinary chondrite from the L group that is petrologic type 5,,,,,,,chondrite,ordinary,L,5,NA,0,,,,
2,ordinary chondrite from the H group that is petrologic type 6,,,,,,,chondrite,ordinary,H,6,NA,0,,,,
3,enstatite chondrite of the EH group that is petrologic type 4,,,,,,,chondrite,enstatite,EH,4,NA,0,,,,
4, primitive achondrite belonging to the acapulcoite-lodranite family,,,,,,,achondrite,primitive,NA,NA,acapulcoite-lodranite,0,,,,
5,ordinary chondrite from the L group that is petrologic type 6,,,,,,,chondrite,ordinary,L,6,NA,0,,,,
6,ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 3 to type 6,,,,,,,chondrite,ordinary,LL,3 to 6,NA,1,,,,
7,ordinary chondrite from the H group that is petrologic type 5,,,,,,,chondrite,ordinary,H,5,NA,0,,,,
8,,,,,,,,,,,,,,,,,
9,"achondrite from the diogenite group, which is a polymict breccia",,,,,,,achondrite,NA,diogenite,,,1,,,,
10,object that has never been classified; some may not be meteorites,,,,,,,unclassified,NA,NA,NA,NA,0,,,,
11,ordinary chondrite from the H group that is petrologic type 4,,,,,,,chondrite,ordinary,H,4,NA,0,,,,
12,,,,,,,,,,,,,,,,,
13,iron meteorite belonging to chemical group IVA,,,,,,,iron,,,,,0,IVA,,,
14, carbonaceous chondrite of the CR group that anomalous and of petrologic type 2,,,,,,,chondrite,carbonaceous,CR,2,NA,0,NA,,,
15,ordinary chondrite from the LL group that is petrologic type 5,,,,,,,chondrite,ordinary,LL,5,NA,0,NA,,,
16, carbonaceous chondrite of the CI group that is petrologic type 1,,,,,,,chondrite,carbonaceous,CI,1,NA,0,NA,,,
17,ordinary chondrite from either the L group or LL group that is petrologic type 4,,,,,,,chondrite,ordinary,L ,4,NA,0,NA,,,
18,achondrite from the eucrite group; the meteorite is a monomict breccia,,,,,,,achondrite,NA,eucrite,NA,,1,NA,,,
19, carbonaceous chondrite of the CV group that is petrologic type 3,,,,,,,chondrite,carbonaceous,CV,,,,,,,
20,achondrite belonging to the ureilite group with anomalous properties,,,,,,,achondrite,NA,ureilite,,,,,1,,
21,,,,,,,,,,,,,,,,,
22,ordinary chondrite from the L group that is petrologic type 3,,,,,,,chondrite,ordinary,L,3,,,,,,
23,achondrite belonging to the angrite group,,,,,,,achondrite,,angrite,,,,,,,
24,ordinary chondrite from the LL group that is petrologic type 6,,,,,,,chondrite,ordinary,LL,6,,,,,,
25,ordinary chondrite from the L group that is petrologic type 4,,,,,,,chondrite,ordinary,L,4,,,,,,
26,achondrite belonging to the aubrite group,,,,,,,achondrite,,aubrite,,,,,,,
27,iron meteorite belonging to chemical group IIAB,,,,,,,iron,,,,,,IIAB,,,
28,"iron meteorite belonging to the low-Au, low-Ni subgroup (sLL) of the IAB complex",,,,,,,iron,,,,,,IAB,,,
29,iron meteorite that does not fit into any of the established chemical groups,,,,,,,iron,,,,,,NA,,,
30, carbonaceous chondrite of the CM group that is petrologic type 2,,,,,,,chondrite,carbonaceous,CM,2,,,,,,
31,,,,,,,,,,,,,,,,,
32, mesosiderite of petrologic class A and metamorphic grade 1,,,,,,,mesosiderite,,,,,,,,A,1
33,ordinary chondrite from the LL group that is petrologic type 4,,,,,,,chondrite,ordinary,LL,4,,,,,,
34, carbonaceous chondrite of petrologic type 2 that is ungrouped,,,,,,,chondrite,carbonaceous,NA,2,,,,,,
35,,,,,,,,,,,,,,,,,
36,achondrite from the howardite group,,,,,,,achondrite,,howardite,,,,,,,
37,achondrite from the eucrite group; the meteorite is a polymict breccia,,,,,,,achondrite,,eucrite,,,1,,,,
38,achondrite from the diogenite group,,,,,,,achondrite,,diogenite,,,,,,,
39,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
41,iron meteorite belonging to the main group (MG) of the IAB complex,,,,,,,iron,,,,,,IAB,,,
42,,,,,,,,,,,,,,,,,
43, possible iron meteorite that has not been classified,,,,,,,iron,,,,,,,,,
44,achondrite from the eucrite group,,,,,,,achondrite,,eucrite,,,,,,,
45,ordinary chondrite from the H group that is petrologic type 4 and has anomalous properties,,,,,,,chondrite,ordinary,H,4,,,,1,,
46,ordinary chondrite from either the L group or LL group that is petrologic type 6,,,,,,,chondrite,ordinary,L,6,,,,,,
47,iron meteorite belonging to chemical group IIIAB,,,,,,,iron,,,,,,IIAB,,,
48,ordinary chondrite from either the H group or L group that is petrologic type 4,,,,,,,chondrite,ordinary,H ~ L,4,,,,,,
49,ordinary chondrite from the H group that is a breccia of type 4 and type 5 components,,,,,,,chondrite,ordinary,H,4 to 5,,1,,,,
50,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,
53,enstatite chondrite of the EL group that is petrologic type 6,,,,,,,chondrite,enstatite,EL,6,,,,,,
54,,,,,,,,,,,,,,,,,
55,ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 3 to type 5,,,,,,,chondrite,ordinary,H,3 to 5,,1,,,,
56,ordinary chondrite from the H group that is a breccia of type 5 and type 6 components,,,,,,,chondrite,ordinary,H,5 to 6,,1,,,,
57, mesosiderite that has not been assigned to a petrologic class or metamorphic grade,,,,,,,mesosiderite,,,,,,,,,
58,ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 5 to type 7,,,,,,,chondrite,ordinary,H,5 to 7,,1,,,,
59,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 3 to type 6,,,,,,,chondrite,ordinary,L,3 to 6,,1,,,,
60,ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 4 to type 6,,,,,,,chondrite,ordinary,H,4 to 6,,1,,,,
61,achondrite belonging to the ureilite group,,,,,,,achondrite,,ureilite,,,,,,,
62,iron meteorite belonging to chemical group IID,,,,,,,iron,,,,,,IID,,,
63, mesosiderite of petrologic class A and metamorphic grade 3 or 4,,,,,,,mesosiderite,,,,,,,,A,3 to 4
64,,,,,,,,,,,,,,,,,
65,ordinary chondrite from the H group that is petrologic type 3,,,,,,,chondrite,ordinary,H,3,,,,,,
66,enstatite chondrite of the EH group that is either petrologic type 3 or type 4 and has anomalous properties,,,,,,,chondrite,enstatite,EH,3 or 4,,,,1,,
67,iron meteorite belonging to chemical group IIE,,,,,,,iron,,,,,,IIE,,,
68,ordinary chondrite from either the L group or LL group that is petrologic type 5,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70, carbonaceous chondrite of the CB group of subtype a (contains large chondrule-like objects),,,,,,,chondrite,carbonaceous,CB,,,,,,,
71,ordinary chondrite from the H group that is either petrologic type 4 or type 5,,,,,,,chondrite,ordinary,H,4 to 5,,,,,,
72,ordinary chondrite from the H group that is either petrologic type 3 or type 4,,,,,,,chondrite,ordinary,H,3 to 4,,,,,,
73,,,,,,,,,,,,,,,,,
74,ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 3 to type 6,,,,,,,chondrite,ordinary,H,3 to 6,,1,,,,
75,,,,,,,,,,,,,,,,,
76,"iron meteorite belonging to the high-Au, low-Ni subgroup (sHL) of the IAB complex",,,,,,,iron,,,,,,IAB,,,
77,,,,,,,,,,,,,,,,,
78,enstatite chondrite of the EH group that is petrologic type 7 and has anomalous properties,,,,,,,chondrite,enstatite,,,,,,,,
79,iron meteorite that has not been fully classified,,,,,,,iron,,,,,,,,,
80, carbonaceous chondrite of the CR group that is petrologic type 2,,,,,,,chondrite,carbonaceous,CR,2,,,,,,
81,,,,,,,,,,,,,,,,,
82, Kakangari chondrite of petrologic type 3,,,,,,,chondrite,kakangari,,3,,,,,,
83,ordinary chondrite from the L group that is either petrologic type 5 or type 6,,,,,,,chondrite,ordinary,L,5 or 6,,,,,,
84, carbonaceous chondrite of the CK group of petrologic type 4,,,,,,,chondrite,carbonaceous,CK,4,,,,,,
85,iron meteorite belonging to chemical group IIE with anomalous properties,,,,,,,iron,,,,,,IIE,,,
86,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,
89, primitive achondrite belonging to the acapulcoite-lodranite family,,,,,,,achondrite,primitive,,,acapulcoite-lodranite,,,,,
90, mesosiderite of petrologic class A and metamorphic grade 3,,,,,,,mesosiderite,,,,,,,,A,3
91,ordinary chondrite from the L group that is a breccia of type 3 and type 4 components,,,,,,,chondrite,ordinary,L,3 to 4,,1,,,,
92,ordinary chondrite from the H group that is either petrologic type 5 or type 6,,,,,,,chondrite,ordinary,H,5 to 6,,,,,,
93, pallasite belonging to the main chemical group,,,,,,,pallasite,,,,,,main,,,
94,achondrite from the eucrite group; the meteorite is a cumulate eucrite,,,,,,,achondrite,eucrite,,,,,,,,
95, pallasite that has not been assigned to a chemical group,,,,,,,pallasite,,,,,,,,,
96,ordinary chondrite from the L group that is a breccia of type 5 and type 6 components,,,,,,,chondrite,ordinary,L,5 to 6,,1,,,,
97,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,
100, carbonaceous chondrite of petrologic type 3 that is ungrouped,,,,,,,chondrite,carbonaceous,,3,,,,,,
101,ordinary chondrite from the H group that is a breccia of type 3 and type 4 components,,,,,,,chondrite,carbonaceous,H,3 to 4,,1,,,,
102,,,,,,,,,,,,,,,,,
103,enstatite chondrite of the EH group that is petrologic type 3,,,,,,,chondrite,enstatite,EH,3,,,,,,
104,iron meteorite belonging to the IAB complex that does not fit into the known subgroups,,,,,,,iron,,,,,,IAB,,,
105, primitive achondrite belonging to the winonaite group,,,,,,,achondrite,primitive,winonaite,,,,,,,
106,ordinary chondrite from the LL group for which the petrologic type has not been determined,,,,,,,chondrite,ordinary,LL,,,,,,,
107,achondrite from the eucrite group; the meteorite is brecciated,,,,,,,achondrite,eucrite,,,,1,,,,
108,iron meteorite belonging to chemical group IIF,,,,,,,iron,,,,,,IIF,,,
109,,,,,,,,,,,,,,,,,
110,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 4 to type 6,,,,,,,chondrite,ordinary,L,4 to 6,,1,,,,
111,enstatite chondrite of the EH group that is petrologic type 5,,,,,,,chondrite,enstatite,EH,5,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,achondrite that is ungrouped,,,,,,,achondrite,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,iron meteorite belonging to chemical group IIIAB with anomalous properties,,,,,,,iron,,,,,,IIIAB,1,,
120,ordinary chondrite from the LL group that is petrologic type 7,,,,,,,chondrite,ordinary,LL,7,,,,,,
121, mesosiderite of petrologic class B and metamorphic grade 2,,,,,,,mesosiderite,,,,,,,,B,2
122,ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 4 to type 6,,,,,,,chondrite,ordinary,LL,4 to 6,,1,,,,
123,,,,,,,,,,,,,,,,,
124,ordinary chondrite from either the L group or LL group that is petrologic type 6 with anomalous properties,,,,,,,chondrite,ordinary,L,6,,,,1,,
125,iron meteorite belonging to the IAB complex that has not been classified into a subgroup,,,,,,,iron,,,,,,IAB,,,
126," pallasite belonging to the main chemical group, but with anomalous properties",,,,,,,pallasite,,,,,,MAIN,1,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,ordinary chondrite from the LL group that is a breccia of type 5 and type 6 components,,,,,,,chondrite,ordinary,,5 to 6,,1,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,ordinary chondrite from the L group that is a breccia of type 4 and type 5 components,,,,,,,chondrite,ordinary,,4 to 5,,,,,,
133,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 3 to type 5,,,,,,,chondrite,ordinary,,3 to 5,,,,,,
134,ordinary chondrite from the LL group that is either petrologic type 4 or type 5,,,,,,,chondrite,ordinary,LL,4 to 5,,,,,,
135,ordinary chondrite from the L group that is either petrologic type 4 or type 5,,,,,,,chondrite,ordinary,L,4 to 5,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141, carbonaceous chondrite of the CH group of petrologic type 3,,,,,,,chondrite,carbonaceous,CH,3,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,enstatite chondrite of petrologic type 4 that has not yet been classified into any group,,,,,,,,,,,,,,,,
145, carbonaceous chondrite of the CO group that is petrologic type 3,,,,,,,,,,,,,,,,
146,ungrouped chondrite that has not or can not be assigned to one of the major classes like carbonaceous chondrites or ordinary chondrites,,,,,,,,,,,,,,,,
147,ordinary chondrite from the H group that is approximately petrologic type 5,,,,,,,,,,,,,,,,
148,ordinary chondrite from the H group that is approximately petrologic type 6,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,enstatite chondrite of the EL group that is petrologic type 5,,,,,,,,,,,,,,,,
151,ordinary chondrite from the LL group that is petrologic type 3,,,,,,,,,,,,,,,,
152,ordinary chondrite from the L group that is approximately petrologic type 6,,,,,,,,,,,,,,,,
153,ordinary chondrite from the L group that is approximately petrologic type 3,,,,,,,,,,,,,,,,
154,ordinary chondrite from the H group that is approximately petrologic type 4,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,iron meteorite belonging to chemical group IIIE with anomalous properties,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160, carbonaceous chondrite of the CM group that is either petrologic type 1 or type 2,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162, primitive achondrite belonging to the brachinite group,,,,,,,,,,,,,,,,
163,n ordinary chondrite from the LL group that is possibly petrologic type 7,,,,,,,,,,,,,,,,
164,n ordinary chondrite from the LL group that is possibly petrologic type 6,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,enstatite chondrite of the EL group that is petrologic type 3,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170, carbonaceous chondrite of the CM group that is petrologic type 1,,,,,,,,,,,,,,,,
171,ordinary chondrite from either the L group or LL group that is petrologic type 3,,,,,,,,,,,,,,,,
172,ordinary chondrite from the H group that is petrologic type 7,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176, mesosiderite of petrologic class B and metamorphic grade 1,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,achondrite from the eucrite group; the meteorite is unbrecciated,,,,,,,,,,,,,,,,
182, carbonaceous chondrite of the CV group that is anomalous and of petrologic type 3,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,"iron meteorite belonging to the low-Au, medium-Ni subgroup (sLM) of the IAB complex",,,,,,,,,,,,,,,,
186, lunar meteorite,,,,,,,,,,,,,,,,
187,iron meteorite belonging to chemical group IC,,,,,,,,,,,,,,,,
188,iron meteorite belonging to chemical group IID with anomalous properties,,,,,,,,,,,,,,,,
189,iron meteorite belonging to chemical group IIIE,,,,,,,,,,,,,,,,
190,iron meteorite belonging to chemical group IVA with anomalous properties,,,,,,,,,,,,,,,,
191, carbonaceous chondrite of the CK group that is anomalous and petrologic type 6,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
193, carbonaceous chondrite of the CK group that is anomalous and petrologic type 5,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,
196,enstatite chondrite of petrologic type 6 that has not yet been classified into any group,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,
201, carbonaceous chondrite of petrologic type 6 that has not yet been classified into any group,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,
204,R chondrite that is petrologic type 4,,,,,,,,,,,,,,,,
205, carbonaceous chondrite of petrologic type 4 that has not yet been classified into any group,,,,,,,,,,,,,,,,
206,iron meteorite belonging to chemical group IIG,,,,,,,,,,,,,,,,
207,iron meteorite belonging to chemical group IIC,,,,,,,,,,,,,,,,
208, carbonaceous chondrite of petrologic type 1 that is ungrouped,,,,,,,,,,,,,,,,
209,ordinary chondrite from the H group that is petrologic type 5 and has anomalous properties,,,,,,,,,,,,,,,,
210,enstatite chondrite of the EH group that is either petrologic type 4 or type 5 ,,,,,,,,,,,,,,,,
211,iron meteorite belonging to chemical group IIIF,,,,,,,,,,,,,,,,
212,R chondrite that is a breccia of components ranging from petrologic type 3 to type 6,,,,,,,,,,,,,,,,
213, mesosiderite of petrologic class B and metamorphic grade 4,,,,,,,,,,,,,,,,
214,ordinary chondrite from the L group that is either petrologic type 6 or type 7,,,,,,,,,,,,,,,,
215, relict meteorite that originated as an H group ordinary chondrite,,,,,,,,,,,,,,,,
216,ordinary chondrite from the L group that has experienced impact melting,,,,,,,,,,,,,,,,
217, carbonaceous chondrite of the CK group of petrologic type 3,,,,,,,,,,,,,,,,
218,ordinary chondrite from the H group that is petrologic type 3 and has anomalous properties,,,,,,,,,,,,,,,,
219,iron meteorite belonging to chemical group IVB,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,
